Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,AccelAero User Id,Zendesk Application Link ticket Reference,Airline,Zendesk Application Link ticket Reference.1,Browser,Browser Version,Support Category,Chargeability,Costing status,Approver,Configurations,Estimated Delivery Date,Requesting Client
AccelAero Reservations,AARESAA-3659,AARESAA-2566 [XBE + LCC] - PNL/ADL,SubTask - Product Development,Closed,Major,Fixed,QACOMPLETED,XEMP - Remya Vinod (QA),2010-01-11 12:57:00,,2012-01-06 20:24:00,2010-02-01 16:12:00,,"AA-G9-014.0 , AA-3O-005.0",,,0.0,0.0,_thumb_11329.png ,,,,,,,,PNL/ADL for interline bookings,Default,,,,,,,,,,,,,Product Enhancement,,,,,,ISA
AccelAero Reservations,AARESAA-8041,AARESAA-7201 PNL ADL changes,SubTask - Product Development,Closed,Major,Fixed,QACOMPLETED,XEMP-Ishan Liyanage,2012-04-09 10:15:00,,2012-11-01 14:30:00,2012-11-01 14:30:00,,AA-G9-034.0,,,0.0,0.0,,,,,,,,,"All the PNL, ADL changes will log here",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-10446,AARESAA-9775 PNL and ADL changes,SubTask - Product Development,Closed,Major,Fixed,QACOMPLETED,XEMP-Ishan Liyanage,2012-09-04 14:38:00,,2013-07-15 09:11:00,2013-07-15 09:11:00,,AA-G9-039.0,,,0.0,0.0,_thumb_19753.png ,,0.0,95400.0,,,,,"PNL and ADL changes will be logged under this jira,

Mail from SITA,

Hello Shijith,

Remember to put EXST with the pax name too.2EXTRA/SEATMR/EXST.

Block a seat for the pax by putting .R/NSST HK1 15A.

The extra seat is added with a .R/EXST followed by HK1 and the seat
requested .R/EXST HK1 15B-EXTRA/EXST

The PNL format should be.

MBP:G9999/./SHJ
-BOM02Y
2EXTRA/SEATMR/EXST .R/NSST HK1 15A .R/EXST HK1 15B-EXTRA/EXST 1TEST/A MR
ENDPNL


The PS list shows


PSG9999/.
»PS: G9999/08AUG SHJ
OP/NAM
320/AA GTD/???? POS/GATE BDT2130 SD2200 ED2200 SA2300 FT2330
1. 1EXTRA/SEAT+ SN15A Y BOM PSM ASR
SN15B EXST
2. 1TEST/A MR Y BOM

PDD listing will show as


PDD:1
PDD: G9999/08AUGYSHJ,1
1. EXTRA/SEATMR SN15A Y BOM M1/88 RQST/SN15A ASR
SN15B EXST
PSM- /EXST HK1 15B-EXTRA/EXST
ASR AUTO 08AUG0940

and the check-in response will be


»PA1,0/0
»PA: G9999/08AUGYSHJBOM1,0/0
AV Y160 PAD Y0
320/AA GTD/???? POS/GATE BDT2130 SD2200 ED2200 SA2300 FT2330
1. EXTRA/SEATMR BN001 SN15A PSM OSR
SN15B EXST
PSM- /EXST HK1 15B-EXTRA/EXST
BOARDING CARD INHIBITED MISSING DOCUMENT DATA RATE NOT FOUND. NO JCD TABLE
ENTRY FOR THIS DESTINATION: BOM »EXB:1/SPCH/CASH/AED0.0",Default,1.0,1.0,95400.0,0.0,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-26590,AARESAA-26501 PNL/ADL - RBD element display for each parts in the PNL/ADL,SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Nadeeka Pulasthini (QA),2016-09-02 16:16:00,,2016-10-03 12:41:00,2016-09-02 18:14:00,,007.0.6,,,0.0,3.0,,,,,,,,,"
RBD element display for each parts in the PNL/ADL",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-26401,AARESAA-26390 PNL/ADL: Baggage details are not going with PNL / ADL for Child,SubTask - Bug,Closed,Major,Work Completed,QACOMPLETED,Ruwani Jayasinghe (QA),2016-08-15 17:01:00,,2016-08-26 11:38:00,2016-08-26 11:38:00,,7.1,,,0.0,2.0,,7200.0,6600.0,600.0,0.08,,,,"Steps: 
1) Send PNL / ADL with baggage assign for child 
2) same way send ADL for Add Ancillary ( add baggage) 

Actual result: 

System does not send the baggage details on PNL or ADL for Child",Default,0.08,0.08,600.0,6600.0,7200.0,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-22524,AARESAA-22227 PNL/ADL not reciving via mails,SubTask - Bug,Closed,Critical,Fixed,QACOMPLETED,Rajitha Lakmini (QA),2015-09-07 12:05:00,,2015-09-16 14:48:00,2015-09-16 14:48:00,,W5017.0,,,0.0,2.0,_thumb_40282.png ,,0.0,3600.0,,,,,"Even though PNL/ADL generating, not receiving to mail. 
Not received any PNL/ADl from scheduler after 3/09/2015 and tested on manually too.",Default,1.0,1.0,3600.0,0.0,,,,,,,,,,,,,,,W5 - MahanAir
AccelAero Reservations,AARESAA-21267,AARESAA-21228 PNL & ADL Changes for blacklisted passenger,SubTask - Task,Open,Major,Unresolved,Nafly Mohamed,Muhammad Rikaz,2015-04-28 10:05:00,,2017-09-20 14:46:00,,,8,,,0.0,1.0,,57600.0,57600.0,,0.0,,,,"-send blacklisted PAX details along with PNL & ADL 

for PNL/ADL support 
Refer Manual - 
AIRIMP35th Edition.pdf, [Page-792] 
3.24 .R/ REMARKS ELEMENT 

Note: couldn't discover special code for blacklisted PAX. Therefore send it as an Remarks. we need to attach only when sending of PNL/ADL if blacklist passenger.",Default,0.0,0.0,,57600.0,57600.0,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-17903,AARESAA-17365 Send PNL/ADL fails on GT,SubTask - Bug,Closed,Blocker,Fixed,QACOMPLETED,Faiza Iqbal (QA),2014-06-23 16:56:00,,2014-06-24 16:34:00,2014-06-24 14:51:00,,AA-GT-001.0.0,,,0.0,2.0,,,,,,,,,"Send PNL/ADL fails on GT 
Eg : GT145 27/6 TBS 

Null pointer exception displayed on UI 
In logs : 

(FLYVISTA_MGR.FK_PNLADL_PAX_COUNT_CC) violated - parent key not found 
",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-6854,AARESAA-6765 PNL ADL PSPT to .DOCS Support,SubTask - Product Development,Closed,Major,Fixed,QACOMPLETED,XEMP - Nilindra Fernando,2011-11-21 11:45:00,,2012-07-19 15:06:00,2012-07-19 15:06:00,,AA-W5-006.0,,,0.0,0.0,_thumb_16080.png _thumb_16078.png _thumb_16079.png ,,,,,,,,"In the current PNL and ADL date of birth and many other passenger identification information are sent in the PSPT element.

Please note the current PSPT format is discontinued from 2008 and many DCS systems are rejecting this.

There fore please investigate the new type for this and incorporate the changes. As communicated by Indika we could use .DOCS support.
",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-25350,AARESAA-25016 Infant DOCS details are not there in PNL and ADL.,SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Manuja Kapugama (QA),2016-06-01 14:21:00,,2016-06-07 10:06:00,2016-06-01 15:30:00,,7,,,0.0,2.0,,1800.0,0.0,3600.0,2.0,,,,"Infant DOCS details are not there in PNL and ADL. 

Steps to Recreate 
================== 
1. Do a reservation from Mahan side by entering passport and visa details for each pax. 
(2AD , 1CHD, 1 INF) 
2. Send PNL. 
3. Do a passport detail change for each pax. 
4. Send ADL. 

Actual Result 
=================== 
Infant DOCS details are not there in PNL and ADL. 

Sample PNL and ADL attached. 

PNL 
W5262/08SEP DEL PART1 
RBD C/CJ Y/MNQUV 
-IKA000C 
-IKA000J 
-IKA000M 
-IKA002N 
2RESERVATION/ABRMR/ACRMSTR .L/19347385 
.R/TKNE HK1 5379535218495/1-1RESERVATION/ABRMR 
.R/TKNE HK1 5379535218494/1-1RESERVATION/ACRMSTR 
.R/CHLD HK1 06SEP05-1RESERVATION/ACRMSTR 
.R/INFT HK1 07SEP15 RESERVATION/ASRMISS 
.R/TKNE HK1 INF5379535218496/1-1RESERVATION/ABRMR 
.R/DOCO HK1/MRT/V/2525/KLT/01JAN16/NZ/I-1RESERVATION/ABRMR 
.R/DOCO HK1/MRT/V/2525/KLT/01JAN16/NZ-1RESERVATION/ABRMR 
.R/DOCO HK1/MRT/V/2526/KLT/01JAN16/NZ-1RESERVATION/ACRMSTR 
.R/DOCS HK1 /P/LK/K25/LK/05SEP85/M/30SEP18/RESERVATION/ABR-1RESE 
.RN/RVATION/ABRMR 
.R/DOCS HK1 /P/LK/K26/LK/06SEP05/M/30SEP18/RESERVATION/ACR-1RESE 
.RN/RVATION/ACRMSTR 
-IKA000Q 
-IKA000U 
-IKA000V 
ENDPNL 

--------------------------------------------------------------------------------------------- 

ADL 
W5262/08SEP DEL PART1 
RBD C/CJ Y/MNQUV 
-IKA000C 
-IKA000J 
-IKA000M 
-IKA002N 
DEL 
2RESERVATION/ABRMR/ACRMSTR .L/19347385 
ADD 
2RESERVATION/ABRMR/ACRMSTR .L/19347385 
.R/TKNE HK1 5379535218495/1-1RESERVATION/ABRMR 
.R/TKNE HK1 5379535218494/1-1RESERVATION/ACRMSTR 
.R/CHLD HK1 06SEP05-1RESERVATION/ACRMSTR 
.R/DOCO HK1/MRT/V/2525/KLT/01JAN16/NZ-1RESERVATION/ABRMR 
.R/DOCO HK1/MRT/V/2526/KLT/01JAN16/NZ-1RESERVATION/ACRMSTR 
.R/DOCS HK1 /P/LK/K25/LK/05SEP85/M/30SEP18/RESERVATION/ABR-1RESE 
.RN/RVATION/ABRMR 
.R/DOCS HK1 /P/LK/K26/LK/06SEP05/M/30SEP18/RESERVATION/ACR-1RESE 
.RN/RVATION/ACRMSTR 
-IKA000Q 
-IKA000U 
-IKA000V 
ENDADL",Default,1.0,1.0,3600.0,0.0,1800.0,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-16212,"AARESAA-16046 PNL/ADL- The ""Resend PNL"" button is not functioning or not resending a failed PNL",SubTask - Bug,Closed,Major,Fixed,QACOMPLETED,Ruwani Jayasinghe (QA),2014-01-31 11:05:00,,2014-02-07 12:25:00,2014-02-07 12:25:00,,AA-G9-040.3.0,,,0.0,0.0,_thumb_27983.png ,,,,,,,,"Steps to Recreate:
1) Login to XBE
2) Go to PNL/ADL page
3) Take a flight with failed pnl
4) select the failed pnl record
5) Select resend pnl button

Actual Result:

System does not re-send a new pnl for the failed pnl

Expected Result:

System should be able to resend a new pnl for the failed record


test data:
10/02/2014
G9531
SHJ/KTM

",Default,,,,,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-27505,AARESAA-27502 PNL / ADL sending fails,SubTask - Bug,Closed,Blocker,Duplicate,QACOMPLETED,Faiza Iqbal (QA),2016-11-01 15:47:00,,2016-11-02 19:59:00,2016-11-01 19:03:00,,7.2,,,0.0,3.0,_thumb_50706.png ,7200.0,3600.0,3600.0,0.5,,,,PNL / ADL sending fails,Default,0.5,0.5,3600.0,3600.0,7200.0,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-3747,AARESAA-3546 Scheduler - PNL/ADL Generator,SubTask - Change Request,Closed,Major,Fixed,QACOMPLETED,XEMP-Janaki Kalatuwawa,2010-01-26 09:10:00,,2012-01-06 20:24:00,2010-02-01 03:09:00,,"AA-G9-014.0 , AA-G9-013.19",,,0.0,0.0,,,,,,,,,"The PNL/ADL Generator needs to be changed to retrieve the SITA and or Email addresses for a Airport based on airport and carrier code.

The PNL/ADL should be sent as per the SITA/Email address defined for each carrier.",Default,,,,,,,,,,,,,Customer Specific Customization,,,,,,G9 - Air Arabia
AccelAero Reservations,AARESAA-21140,AARESAA-20677 Stop sending ET details in PNL/ADL,SubTask - Product Development,Closed,Major,Done,Manoj Dhanushka,Manoj Dhanushka,2015-04-10 14:56:00,,2016-06-23 15:07:00,2016-06-23 15:07:00,,A1001.0,,,0.0,2.0,,,0.0,19800.0,,,,,Stop sending ET details in PNL/ADL,Default,1.0,1.0,19800.0,0.0,,,,,,,,,,,,,,,
AccelAero Reservations,AARESAA-11450,AARESAA-11179 Confirm WL booking details are not displayed in the PNL/ADL,SubTask - Bug,Closed,Critical,Fixed,QACOMPLETED,Nadeeka Pulasthini (QA),2012-11-28 11:36:00,,2012-12-11 15:51:00,2012-12-11 15:51:00,,AA-W5-009.0,,,0.0,0.0,,,,,,,,,Confirm WL booking details are not displayed in the PNL/ADL,Default,,,,,,,,,,,,,,,,,,,
